"ID","OWC","DQ","allhazards_H9a_sev_exposure_30","disaster_h9a_sev_exposure_30","allhazards_H9a_sev_exposure_30_IA","disaster_h9a_sev_exposure_30_IA","normative_est_count_30","normative_est_count_30_IA","allhazards_est_count_30_IA","eHRAF.Name","ea033","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1_Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5_Resolved","S6_Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS3d_outside_Res","LS4d_outside_Res","LS5d_outside_Res","LS2e_nonkin_Res","LS3e_nonkin_Res","LS4e_nonkin_Res","LS5e_nonkin_Res","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","sevnonfd_freq_30","fd_hazards_freq_PC","disaster_nonfd_sev_exposure_30","disaster_nonfd_sev_exposure_30_IA"
65,"RQ02",3,4,4,4,4,NA,NA,3,NA,4,1,0,1,1,1,1,2,1,NA,NA,0,NA,1,1,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,4,NA,4,3,3,NA,NA,NA,NA,2,2
66,"AH01",3,6,1,6,1,20,20,21,"Mongol",4,1,1,1,1,0,2,3,1,0,1,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,0,1,1,NA,NA,1,1,NA,7,NA,3,NA,NA,7,NA,NA,NA,1,1
69,"AR05",3,NA,NA,NA,NA,4,4,4,"Garo",2,1,0,1,1,1,1,2,1,0,1,1,1,1,NA,NA,0,1,1,NA,NA,1,1,0,NA,NA,0,0,0,NA,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"AR20",2,2,2,2,2,NA,0,1,NA,2,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,1,3,1,1,3,1,NA,-0.212485819900124,2,2
72,"AM28",2,5,NA,5,0,20,20,20,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,NA,NA,0,NA,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,7,1,1,1,NA,-1.08731014306093,NA,0
73,"AM11",1,46.75,44,46.75,44,4,4,42,NA,5,1,0,1,0,0,1,1,1,0,NA,1,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,1,NA,0,0,0,NA,0,1,0,NA,7,3,7,5,5,5,5,3,2.19320674830415,33,33
76,"AO07",1,9.5,8.5,9.5,8.5,4,4,20,"Central Thai",5,1,0,1,1,1,1,2,1,0,1,1,1,1,NA,NA,0,0,0,NA,NA,1,1,1,NA,0,0,0,0,0,1,1,NA,7,5,4,6,3,5,3,5,0.97505682143043,5,5
79,"AZ02",1,4,4,4,4,NA,0,2,"Andamans",1,1,1,0,1,1,1,2,1,1,1,1,2,0.5,1,0,0,1,NA,1,1,NA,NA,NA,1,0,NA,1,0,NA,NA,0,NA,4,1,4,1,1,1,1,NA,-0.408236436532951,4,4
83,"OE05",2,NA,NA,0,0,NA,0,3,NA,5,1,0,1,1,1,1,2,1,0,0,1,0,1,NA,NA,NA,1,0,NA,NA,NA,1,1,NA,0,0,1,0,0,1,1,1,5,1,1,1,1,1,4,NA,-1.08731014306093,2,2
85,"OC06",1,2,2,2,2,NA,0,4,"Iban",1,1,0,0,1,1,0,1,1,0,1,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,0,0,5,1,4,1,1,1,1,NA,-0.408236436532951,0,0
86,"OA08",3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,1,1,0,0,1,0,1,NA,NA,NA,0,1,NA,NA,NA,0,1,NA,0,0,NA,0,0,0,NA,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
87,"OG11",1,5,5,5,5,NA,0,6,"Toradja",2,1,1,1,1,1,2,3,1,0,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,0,0,0,0,NA,NA,1,NA,7,3,5,5,5,1,1,3,0.896273906334527,3.5,3.5
91,"OI08",2,2,2,2,2,NA,0,2,"Aranda",1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,1,4,4,4,1,3,NA,0.400377893985663,0,0
92,"OJ23",2,15,10,15,10,20,20,40,"Orokaiva",1,1,0,1,1,1,1,2,1,1,0,0,1,1,1,0,NA,NA,1,1,NA,NA,NA,NA,1,0,0,0,1,0,1,1,1,7,1,1,7,1,1,7,NA,-1.08731014306093,0,0
93,"OJ82",1,21,16,21,16,20,20,27,NA,1,1,1,0,1,0,1,2,1,0,1,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,7,1,5,1,1,7,1,NA,0.873392762665088,0,0
94,"OJ29",1,5,NA,5,0,20,20,20,"Kapauku",2,1,0,1,0,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,0,0,NA,0,0,0,NA,0,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
96,"OM06",3,0,NA,0,NA,NA,NA,2,NA,1,1,0,1,0,1,1,1,1,0,NA,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,0,0,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"OL06",2,2,2,2,2,20,20,23,"Trobrianders",2,1,0,1,1,0,1,2,1,0,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,0,NA,NA,0,0,NA,NA,1,NA,NA,7,3,4,4,4,1,1,3,0.400377893985663,1,1
99,"ON19",2,3,2,3,2,28,28,28,NA,1,1,1,0,1,1,1,2,1,0,1,0,1,1,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,0,NA,0,0,1,NA,0,0,7,1,2,2,2,5,5,NA,0.252802906905575,0,0
100,"OT11",1,11,11,11,11,NA,0,7,"Tikopia",2,1,1,1,0,0,2,2,1,1,1,1,2,1,1,0,1,NA,1,NA,NA,1,NA,0,0,0,0,NA,NA,0,0,NA,NA,5,1,5,3,3,3,1,NA,0.779306204797603,8,8
102,"OQ12",1,1,1,1,1,NA,0,2,NA,3,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,1,4,1,3,3,3,1,1,NA,-0.0955181183632001,2,2
106,"OU08",3,3,2,3,2,NA,NA,6,NA,3,1,0,1,0,1,1,1,1,NA,NA,0,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,0,NA,0,NA,1,NA,1,7,NA,4,4,NA,4,NA,NA,NA,2,2
108,"OR11",1,2.5,2.5,2.5,2.5,NA,0,2,NA,2,1,0,1,1,1,1,2,1,1,0,NA,1,0,1,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,0,0,NA,1,NA,NA,4,1,3,1,1,1,1,NA,-0.634594338708943,0.5,0.5
109,"OR19",1,4.5,4.5,4.5,4.5,NA,0,7,NA,1,1,1,1,0,0,2,2,1,1,1,1,2,1,1,0,1,NA,NA,1,0,0,1,1,1,0,0,NA,NA,0,1,NA,NA,5,1,5,1,1,1,1,NA,-0.18187853435696,4.5,4.5
110,"OR22",2,6,6,6,6,NA,0,4,NA,2,1,0,1,0,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,0,NA,1,7,1,5,4,4,1,1,NA,0.626735796161655,4,4
112,"OA19",1,9,4,9,4,20,20,24,"Ifagao",1,1,0,1,1,0,1,2,1,0,1,0,1,1,1,NA,0,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,7,1,5,5,5,7,1,NA,1.95154520335657,0,0
